model/task,1-1,1-2,2-1,2-2,2-3,2-4,2-5,2-6,2-7,3-1,3-2,type,Average
BIChat,33.20%,6.55%,98.21%,70.91%,81.47%,79.39%,22.03%,4.91%,16.28%,35.94%,3.70%,BI LLMs,41.14%
GPT-3.5,25.60%,0.31%,57.64%,54.94%,71.77%,41.72%,1.60%,29.51%,21.17%,46.76%,5.07%,English LLMs,32.37%
GLM-4,69.60%,0.11%,15.14%,44.83%,22.03%,36.13%,14.79%,25.75%,25.61%,60.82%,5.13%,Chinese LLMs,29.09%
GPT-4,35.60%,0.41%,26.30%,49.78%,24.30%,29.52%,10.95%,24.17%,24.30%,52.57%,5.55%,English LLMs,25.77%
ERNIE-Bot,42.20%,0.09%,12.13%,40.56%,19.23%%,35.72%,13.56%,24.32%,24.61,59.09%,4.21%,Chinese LLMs,25.07%
Qwen-turbo,42.80%,2.18%,21.10%,29.31%,15.60%,27.50%,1.62%,32.27%,18.91%,44.98%,3.70%,Chinese LLMs,21.82%
XuanYuan-70B,31.40%,2.23%,21.33%,30.94%,22.40%,21.90%,0.61%,36.28%,13.12%,42.53%,6.30%,BI LLMs,20.82%
Internlm-chat-7B,12.00%,0.05%,50.45%,19.09%,28.98%,19.05%,0.85%,29.48%,17.17%,29.63%,2.26%,Chinese LLMs,19.00%
Chinese-Alpace2-7B,23.60%,0.03%,76.01%,22.46%,6.22%,7.73%,0.79%,17.83%,19.15%,29.56%,5.27%,Chinese LLMs,18.97%
Yi-34B-Chat,49.20%,0.09%,7.53%,10.63%,14.11%,20.88%,1.11%,29.41%,20.41%,30.91%,6.46%,Chinese LLMs,17.34%
ChatGLM3-6B-Base,47.40%,0.14%,33.86%,23.03%,2.20%,9.86%,6.24%,14.89%,12.44%,31.12%,4.18%,Chinese LLMs,16.85%
Qwen-1.8B-Chat,32.00%,1.02%,26.17%,21.57%,14.08%,6.52%,1.01%,26.23%,14.81%,27.56%,6.64%,Chinese LLMs,16.15%
Yi-6B-Chat,41.40%,0.34%,2.03%,30.16%,10.28%,7.24%,1.23%,24.92%,14.72%,27.29%,5.88%,Chinese LLMs,15.04%
XuanYuan-13B,20.40%,2.05%,13.97%,15.08%,14.39%,14.37%,0.85%,25.17%,14.08%,28.66%,5.63%,BI LLMs,14.06%
MiniCPM-2B,12.80%,0.00%,7.54%,28.01%,7.72%,20.12%,0.76%,2.26%,16.52%,34.35%,6.26%,Chinese LLMs,12.39%
Tiger-chat-7B,16.40%,0.03%,0.93%,25.41%,0.00%,3.06%,0.65%,26.98%,12.61%,22.65%,4.28%,Chinese LLMs,10.27%
Internlm-base-20B,60.00%,0.74%,11.25%,7.42%,0.87%,4.96%,0.03%,6.98%,6.15%,7.53%,2.66%,Chinese LLMs,9.87%
Vicuna,24.80%,0.02%,0.36%,21.44%,0.00%,0.54%,0.60%,26.45%,14.76%,14.13%,4.36%,English LLMs,9.77%
Internlm-chat-20B,64.40%,0.88%,4.23%,8.07%,0.87%,2.85%,2.35%,5.90%,10.13%,0.23%,7.46%,Chinese LLMs,9.76%
Internlm-base-7B,65.20%,0.97%,4.32%,8.37%,0.87%,2.90%,2.33%,2.14%,6.14%,1.01%,7.17%,Chinese LLMs,9.22%
LLaMA2-7B-Chat,17.80%,0.70%,18.00%,12.59%,0.10%,15.86%,0.50%,18.39%,8.80%,3.84%,4.04%,English LLMs,9.15%
Qwen-14B,34.60%,0.11%,4.33%,10.90%,2.25%,6.71%,2.52%,10.81%,10.33%,9.41%,7.86%,Chinese LLMs,9.08%
Phi-2,15.60%,0.33%,1.79%,5.45%,0.00%,6.35%,3.23%,10.47%,17.40%,13.86%,6.25%,English LLMs,7.34%
LLaMA2-13B-Chat,16.60%,0.25%,19.50%,6.40%,0.00%,0.24%,0.58%,13.49%,5.58%,0.84%,4.19%,English LLMs,6.15%
Qwen-7B,22.60%,0.37%,2.29%,7.31%,1.01%,3.74%,2.38%,3.95%,9.21%,4.72%,8.31%,Chinese LLMs,5.99%
Alpaca,5.40%,0.00%,0.13%,19.77%,0.00%,0.53%,0.99%,12.75%,15.16%,2.95%,4.64%,English LLMs,5.67%
ChatGLM3-Chat,10.80%,0.30%,4.88%,15.70%,1.00%,7.78%,0.06%,3.36%,1.25%,2.56%,1.47%,Chinese LLMs,4.47%
Yi-34B,29.00%,0.51%,0.16%,0.22%,0.33%,0.28%,0.30%,0.89%,3.50%,5.08%,0.77%,Chinese LLMs,3.73%
Baichuan2-13B-Chat,21.60%,0.92%,2.04%,3.38%,6.08%,1.59%,0.13%,1.88%,0.90%,0.82%,1.04%,Chinese LLMs,3.67%
Qwen-14B-Chat,6.00%,0.67%,12.37%,3.56%,1.90%,5.95%,0.50%,0.80%,1.42%,4.01%,2.08%,Chinese LLMs,3.57%
Yi-6B,30.40%,0.01%,0.09%,0.13%,0.11%,0.25%,0.22%,0.07%,1.62%,4.63%,0.90%,Chinese LLMs,3.49%
Qwen-7B-Chat,4.40%,0.00%,3.47%,10.98%,0.60%,9.66%,0.30%,1.28%,0.50%,5.18%,1.06%,Chinese LLMs,3.40%
LLaMA2-70B-Chat,9.80%,0.00%,0.00%,3.72%,0.00%,0.00%,0.10%,5.15%,14.18%,0.16%,2.97%,English LLMs,3.28%
Baichuan2-7B-Chat,25.00%,0.95%,0.14%,1.54%,3.18%,0.86%,0.09%,0.35%,0.76%,1.37%,1.23%,Chinese LLMs,3.22%
Tiger-base-7B,18.40%,0.00%,1.31%,0.13%,0.00%,0.30%,1.66%,0.89%,4.31%,2.41%,2.41%,Chinese LLMs,2.89%
LLaMA2-13B,18.80%,0.42%,0.01%,0.11%,0.28%,0.39%,0.17%,1.74%,1.69%,0.38%,2.60%,English LLMs,2.42%
Baichuan2-7B,8.80%,0.31%,0.00%,0.05%,0.00%,0.13%,1.58%,0.84%,2.29%,6.24%,1.40%,Chinese LLMs,1.97%
